Political group,Total
Nepali Congress (NC),89
"Communist Party of Nepal (Unified Marxist-Leninist, UML)",78
Communist Party of Nepal-Maoist Centre (CPN-MC),32
Rastriya Swatantra Party,20
Rastriya Prajatantra Party Nepal (RPP),14
"People's Socialist Party, Nepal",12
Communist Party of Nepal (Unified Socialist),10
Janamat Party,6
"Democratic Socialist Party, Nepal",4
People's Freedom Party,3
Nepal Workers Peasants Party,1
Rastriya Janamorcha,1
Independents,5
