Political group,Total
Communist Party of Nepal (UML),121
Nepali Congress (NC),63
Communist Party of Nepal-Maoist Centre (CPN-MC),53
Rastriya Janata Party Nepal (RJP),17
Federal Socialist Forum Nepal (FSFN),16
"Rastriya Prajatantra Party Nepal (RPP, National Democratic Party Nepal)",1
Naya Shakti Party,1
Rastriya Janamorcha,1
Nepal Majdur Kisan (Nepal Workers Peasants Party),1
